 #Numero puntos:         100
 #X                                  U                                 Resultado exacto
   1.0000000000000000       -6.8349848394165558E-018   5.5511151231257827E-017
   1.0101010101010102        1.7255899354005573E-002   1.7255952209918712E-002
   1.0202020202020201        3.4338346349861076E-002   3.4338448683263162E-002
   1.0303030303030303        5.1249007078820394E-002   5.1249155656992978E-002
   1.0404040404040404        6.7989482302043297E-002   6.7989674031551234E-002
   1.0505050505050506        8.4561310320933891E-002   8.4561542241564092E-002
   1.0606060606060606       0.10096596971023292       0.10096623898926868     
   1.0707070707070707       0.11720488192169380       0.11720518584850362     
   1.0808080808080809       0.13327941376565530       0.13327974974657381     
   1.0909090909090908       0.14919087977734474       0.14919124533082836     
   1.1010101010101010       0.16494054447430281       0.16494093722634431     
   1.1111111111111112       0.18052962451091020       0.18053004219069130     
   1.1212121212121211       0.19595929073561552       0.19595973117138643     
   1.1313131313131313       0.21123067015610983       0.21123113127128118     
   1.1414141414141414       0.22634484781736622       0.22634532762679802     
   1.1515151515151516       0.24130286859715605       0.24130336520363330     
   1.1616161616161615       0.25610573892337141       0.25610625051425628     
   1.1717171717171717       0.27075442841721886       0.27075495326126608     
   1.1818181818181819       0.28524987146610287       0.28525040791043038     
   1.1919191919191920       0.29959296872979024       0.29959351519699529     
   1.2020202020202020       0.31378458858323188       0.31378514356864390     
   1.2121212121212122       0.32782556849921940       0.32782613056828447     
   1.2222222222222223       0.34171671637386941       0.34171728415965247     
   1.2323232323232323       0.35545881179775274       0.35545938399855748     
   1.2424242424242424       0.36905260727532591       0.36905318265242226     
   1.2525252525252526       0.38249882939516883       0.38249940677062233     
   1.2626262626262625       0.39579817995339206       0.39579875820798871     
   1.2727272727272727       0.40895133703244319       0.40895191510370860     
   1.2828282828282829       0.42195895603741873       0.42195953291771948     
   1.2929292929292928       0.43482167069187022       0.43482224542659809     
   1.3030303030303030       0.44754009399498512       0.44754066568082063     
   1.3131313131313131       0.46011481914192010       0.46011538692516440     
   1.3232323232323233       0.47254642040896827       0.47254698348394814     
   1.3333333333333335       0.48483545400515182       0.48483601161268786     
   1.3434343434343434       0.49698245889174675       0.49698301031768299     
   1.3535353535353536       0.50898795757116633       0.50898850214496116     
   1.3636363636363638       0.52085245684655601       0.52085299393992568     
   1.3737373737373737       0.53257644855338127       0.53257697757899713     
   1.3838383838383839       0.54416041026422279       0.54416093067445992     
   1.3939393939393940       0.55560480596793393       0.55560531725366591     
   1.4040404040404040       0.56691008672425280       0.56691058841369113     
   1.4141414141414141       0.57807669129490902       0.57807718295248733     
   1.4242424242424243       0.58910504675221087       0.58910552797750837     
   1.4343434343434343       0.59999556906605034       0.59999603949275371     
   1.4444444444444444       0.61074866367021796       0.61074912296512229     
   1.4545454545454546       0.62136472600887305       0.62136517387091494     
   1.4646464646464648       0.63184414206397566       0.63184457822330198     
   1.4747474747474749       0.64218728886444687       0.64218771308151379     
   1.4848484848484849       0.65239453497778654       0.65239494704248879     
   1.4949494949494950       0.66246624098484264       0.66246664071567407     
   1.5050505050505052       0.67240275993839527       0.67240314718163341     
   1.5151515151515151       0.68220443780618445       0.68220481243510289     
   1.5252525252525253       0.69187161389898122       0.69187197581308779     
   1.5353535353535355       0.70140462128427816       0.70140497040857552     
   1.5454545454545454       0.71080378718614101       0.71080412347040978     
   1.5555555555555556       0.72006943337174567       0.72006975678985163     
   1.5656565656565657       0.72920187652509638       0.72920218707431517     
   1.5757575757575757       0.73820142860839932       0.73820172630876324     
   1.5858585858585859       0.74706839721154517       0.74706868210520883     
   1.5959595959595960       0.75580308589013423       0.75580335804075616     
   1.6060606060606060       0.76440579449245505       0.76440605398459882     
   1.6161616161616164       0.77287681947581455       0.77287706641436671     
   1.6262626262626263       0.78121645421259533       0.78121668872219630     
   1.6363636363636365       0.78942498928640281       0.78942521151089617     
   1.6464646464646466       0.79750271277864615       0.79750292288054059     
   1.6565656565656566       0.80544991054588500       0.80545010870583011     
   1.6666666666666667       0.81326686648825830       0.81326705290453527     
   1.6767676767676769       0.82095386280929572       0.82095403769731878     
   1.6868686868686869       0.82851118026740611       0.82851134385923764     
   1.6969696969696970       0.83593909841931591       0.83593925096319244     
   1.7070707070707072       0.84323789585572839       0.84323803761559901     
   1.7171717171717171       0.85040785042945433       0.85040798168452758     
   1.7272727272727273       0.85744923947626206       0.85744936052056675     
   1.7373737373737375       0.86436234002867962       0.86436245117063160     
   1.7474747474747474       0.87114742902297504       0.87114753058495675     
   1.7575757575757578       0.87780478349952928       0.87780487581747701     
   1.7676767676767677       0.88433468079681021       0.88433476421980894     
   1.7777777777777777       0.89073739873914426       0.89073747362903499     
   1.7878787878787881       0.89701321581847970       0.89701328254947144     
   1.7979797979797980       0.90316241137032249       0.90316247032861263     
   1.8080808080808082       0.90918526574402136       0.90918531732742414     
   1.8181818181818183       0.91508206046757079       0.91508210508515420     
   1.8282828282828283       0.92085307840709618       0.92085311647882384     
   1.8383838383838385       0.92649860392117511       0.92649863587755532     
   1.8484848484848486       0.93201892301014677       0.93201894929189033     
   1.8585858585858586       0.93741432346055331       0.93741434451823413     
   1.8686868686868687       0.94268509498485276       0.94268511127857724     
   1.8787878787878789       0.94783152935653658       0.94783154135561853     
   1.8888888888888888       0.95285392054078133       0.95285392872342101     
   1.8989898989898992       0.95775256482075743       0.95775256967372757     
   1.9090909090909092       0.96252776091971681       0.96252776293805342     
   1.9191919191919191       0.96717981011897125       0.96717980980566987     
   1.9292929292929295       0.97170901637187446       0.97170901423759048     
   1.9393939393939394       0.97611568641391411       0.97611568297666884     
